Timestamp,File Name,File Size(Byte),Prepocess Time(ms),Inference Time (ms),Transmission Time (ms),Latency (ms),Idle Cost (CNY),Trigger Cost(CNY)
70,110_5.jpg,125907,16.68464,39.49261,100.7256,156.90285,8.563287609600001e-05,0.00025406727000065147
71,110_6.jpg,132773,11.27479,25.42734,106.2184,142.92053,9.030263494400001e-05,0.00016633575517833232
72,110_7.jpg,69438,6.10096,18.44551,55.5504,80.09687,4.7226728064e-05,0.00011157692349553107
73,111_0.jpg,8534,2.56066,12.83615,6.8272,22.22401,5.804212352000001e-06,7.035953352227807e-05
74,111_1.jpg,82610,6.76832,36.87509,66.088,109.73141,5.618537408e-05,0.00019760482850559054
75,111_2.jpg,17620,5.98882,13.97689,14.096,34.06171,1.1983855360000001e-05,9.094154982082545e-05
76,111_3.jpg,173203,12.3036,32.35603,138.5624,183.22202,0.00011780020998400001,0.00020218267783299088
77,111_4.jpg,49565,4.77322,29.18665,39.652,73.61187,3.3710544320000003e-05,0.00015398241290859877
78,111_5.jpg,131796,16.02641,60.64733,105.4368,182.11053,8.963814988800001e-05,0.00034639983693137766
79,111_6.jpg,147743,10.73653,40.3625,118.1944,169.29342,0.00010048415110400001,0.0002311908844295889
80,111_7.jpg,57778,8.48848,36.36222,46.2224,91.07309,3.9296435584e-05,0.00020304340220615266
81,112_0.jpg,10707,5.08873,35.79563,8.5656,49.44996,7.282130496000001e-06,0.0001851758784394711
82,112_1.jpg,154987,10.88802,37.65963,123.9896,172.53725,0.00010541099833600002,0.0002196974547188729
83,112_2.jpg,18400,3.22814,13.46079,14.72,31.40893,1.2514355200000002e-05,7.618027240224181e-05
84,112_3.jpg,35772,5.27714,30.66449,28.6176,64.55924,2.4329538816000003e-05,0.00016290989529415964
85,112_4.jpg,144860,10.42097,22.32701,115.888,148.63599,9.852334208000002e-05,0.0001485231306053698
86,112_5.jpg,70470,6.03067,34.52367,56.376,96.93034,4.7928620160000006e-05,0.00018368918662518263
87,112_6.jpg,57544,8.25128,37.73898,46.0352,92.02546,3.9137285632e-05,0.00020817694146186113
88,112_7.jpg,132922,10.18923,29.34954,106.3376,145.87637,9.040397401600001e-05,0.0001791142719954252
89,112_8.jpg,60572,5.52275,40.67808,48.4576,94.65842,4.119671321600001e-05,0.00020912547182068227
90,113_0.jpg,10117,3.36026,22.7159,8.0936,34.16976,6.880854976e-06,0.00011846787255667149
91,113_1.jpg,180602,13.28759,36.32777,144.4816,194.09696,0.000122832477056,0.00022450726053416728
92,113_2.jpg,22423,3.54199,15.22233,17.9384,36.70272,1.5250510144000002e-05,8.55295058708638e-05
93,113_3.jpg,38462,5.55551,35.21219,30.7696,71.5373,2.6159083136000005e-05,0.00018465032212920486
94,113_4.jpg,81497,6.75032,35.86901,65.1976,107.81693,5.5428391616e-05,0.00019299156142622232
95,113_5.jpg,80515,8.45353,39.1819,64.412,112.04743,5.476050592e-05,0.00021558807249777017
96,113_6.jpg,56365,7.96649,36.52871,45.092,89.5872,3.8335414720000005e-05,0.0002014419760905206
97,113_7.jpg,122266,9.55681,41.00125,97.8128,148.37087,8.315653004800001e-05,0.0002287539840877056
98,113_8.jpg,59023,5.13573,17.75804,47.2184,70.11217,4.014319494400001e-05,0.000104131847300753
99,114_0.jpg,26527,3.64129,36.79151,21.2216,61.6544,1.8041755456e-05,0.00018314168616048992
100,114_1.jpg,69444,8.74247,42.51128,55.5552,106.80895,4.723080883200001e-05,0.0002318878929503262
101,114_2.jpg,12152,2.80865,33.42558,9.7216,45.95583,8.264915456000001e-06,0.0001642279500260949
102,114_3.jpg,42288,5.76494,34.86638,33.8304,74.46172,2.8761252864e-05,0.00018403596132285892
103,114_4.jpg,71619,7.27713,22.05713,57.2952,86.62946,4.8710087232000004e-05,0.00013314496044330298
104,114_5.jpg,105645,8.44158,35.87457,84.516,128.83214,7.185212256e-05,0.00020063535587862134
