Timestamp,File Name,File Size(Byte),Transmission Time (ms),Inference Time(ms),Latency (ms),Idle Cost (CNY),Trigger Cost(CNY)
1685524215.94148,SEQ_01_188.jpg,2552647,255.2647,286.681,541.9457,1.2967446760000002e-05,0.0008910871688000001
1685524217.4623091,SEQ_01_189.jpg,2504543,250.4543,273.401,523.8553,1.272307844e-05,0.0008498554248
1685524218.977623,SEQ_01_190.jpg,2536879,253.6879,268.625,522.3129,1.2887345320000002e-05,0.0008350269000000001
1685524220.4730408,SEQ_01_191.jpg,2507074,250.7074,270.886,521.5934,1.2735935920000001e-05,0.0008420468528
1685524221.984599,SEQ_01_192.jpg,2544126,254.4126,293.363,547.7756,1.292416008e-05,0.0009118334424
1685524223.518898,SEQ_01_193.jpg,2483559,248.3559,272.183,520.5389,1.261647972e-05,0.0008460737784000001
1685524225.033738,SEQ_01_194.jpg,2523255,252.3255,277.666,529.9915,1.2818135399999999e-05,0.0008630973968000001
1685524226.548985,SEQ_01_195.jpg,2488361,248.8361,267.317,516.1531,1.264087388e-05,0.0008309658216000001
1685524228.068256,SEQ_01_196.jpg,2534541,253.4541,268.108,521.5621,1.2875468280000002e-05,0.0008334217184000001
1685524229.5960782,SEQ_01_197.jpg,2480310,248.031,270.184,518.215,1.25999748e-05,0.0008398672831999999
1685524231.1127691,SEQ_01_198.jpg,2512669,251.2669,279.494,530.7609,1.276435852e-05,0.0008687729712000001
1685524232.6310668,SEQ_01_199.jpg,2483888,248.3888,288.258,536.6468,1.2618151040000001e-05,0.0008959834384
1685524234.151371,SEQ_01_200.jpg,2524049,252.4049,267.937,520.3419,1.282216892e-05,0.0008328907976
1685524235.650094,SEQ_01_201.jpg,2460672,246.0672,299.01,545.0772,1.2500213760000002e-05,0.000929366248
1685524237.186133,SEQ_01_202.jpg,2508512,250.8512,281.51,532.3612,1.274324096e-05,0.000875032248
1685524238.6961,SEQ_01_203.jpg,2480964,248.0964,272.612,520.7084,1.260329712e-05,0.0008474057376000001
1685524240.1980019,SEQ_01_204.jpg,2522790,252.279,270.958,523.237,1.28157732e-05,0.0008422703983999999
1685524241.690586,SEQ_01_205.jpg,2471027,247.1027,268.182,515.2847,1.2552817160000002e-05,0.0008336514736
1685524243.20319,SEQ_01_206.jpg,2511934,251.1934,280.228,531.4214,1.2760624720000001e-05,0.0008710518944
1685524244.714976,SEQ_01_207.jpg,2477798,247.7798,268.656,516.4358,1.258721384e-05,0.0008351231488
1685524246.2163079,SEQ_01_208.jpg,2527161,252.7161,310.228,562.9441,1.283797788e-05,0.0009641958944000001
1685524247.760057,SEQ_01_209.jpg,2471459,247.1459,272.465,519.6109,1.255501172e-05,0.000846949332
1685524249.263562,SEQ_01_210.jpg,2515172,251.5172,271.191,522.7082,1.277707376e-05,0.0008429938168
1685524250.767241,SEQ_01_211.jpg,2484278,248.4278,265.915,514.3428,1.2620132240000001e-05,0.000826612892
1685524252.263076,SEQ_01_212.jpg,2526202,252.6202,275.817,528.4372,1.2833106160000001e-05,0.0008573566216
1685524253.776143,SEQ_01_213.jpg,2489197,248.9197,275.129,524.0487,1.264512076e-05,0.0008552205192000001
1685524255.290792,SEQ_01_214.jpg,2518179,251.8179,277.963,529.7809,1.279234932e-05,0.0008640195224
1685524256.810084,SEQ_01_215.jpg,2485806,248.5806,295.361,543.9416,1.2627894480000002e-05,0.0009180368328
1685524258.322863,SEQ_01_216.jpg,2528905,252.8905,277.513,530.4035,1.2846837400000001e-05,0.0008626223624
1685524259.839541,SEQ_01_217.jpg,2479482,247.9482,269.409,517.3572,1.259576856e-05,0.0008374610632000001
1685524261.345709,SEQ_01_218.jpg,2519839,251.9839,272.013,523.9969,1.280078212e-05,0.0008455459624
1685524262.870636,SEQ_01_219.jpg,2493555,249.3555,268.247,517.6025,1.26672594e-05,0.0008338532856000001
1685524264.3958871,SEQ_01_220.jpg,2534550,253.455,276.751,530.206,1.2875513999999999e-05,0.0008602565048000001
1685524265.931253,SEQ_01_221.jpg,2487395,248.7395,267.201,515.9405,1.26359666e-05,0.0008306056648000001
1685524267.459832,SEQ_01_222.jpg,2524977,252.4977,297.284,549.7817,1.282688316e-05,0.0009240073632
1685524269.0131772,SEQ_01_223.jpg,2498388,249.8388,270.799,520.6378,1.269181104e-05,0.0008417767352000001
1685524270.5392241,SEQ_01_224.jpg,2532380,253.238,273.817,527.055,1.2864490400000001e-05,0.0008511470215999999
1685524272.0609548,SEQ_01_225.jpg,2489054,248.9054,288.419,537.3244,1.264439432e-05,0.0008964833112
1685524273.59678,SEQ_01_226.jpg,2529659,252.9659,274.213,527.1789,1.2850667720000001e-05,0.0008523765224
1685524275.130993,SEQ_01_227.jpg,2490083,249.0083,275.856,524.8643,1.264962164e-05,0.0008574777088
1685524276.656725,SEQ_01_228.jpg,2531533,253.1533,295.646,548.7993,1.2860187640000001e-05,0.0009189217008000001
1685524278.2155252,SEQ_01_229.jpg,2493721,249.3721,304.473,553.8451,1.266810268e-05,0.0009463277704
1685524279.757484,SEQ_01_230.jpg,2518738,251.8738,282.998,534.8718,1.279518904e-05,0.0008796521904000001
1685524281.297615,SEQ_01_231.jpg,2485858,248.5858,274.948,523.5338,1.262815864e-05,0.0008546585504000001
1685524282.825234,SEQ_01_232.jpg,2529880,252.988,278.945,531.933,1.28517904e-05,0.000867068436
1685524284.3574889,SEQ_01_233.jpg,2492463,249.2463,289.39,538.6363,1.266171204e-05,0.0008994980719999999
1685524285.899989,SEQ_01_234.jpg,2521468,252.1468,275.109,527.2558,1.280905744e-05,0.0008551584232
