Timestamp,File Name,File Size(Byte),Canvas Size,Batch Size,Image Number,Canvas Efficiency,transmission Time (ms),Latency(ms),Idle Cost (CNY),Trigger Cost(CNY)
1685003231.3945038,135.jpg,730167,2016x2016,1,11,0.49294,730.167,340.90781,3.72518004258667e-05,0.0010594505750656127
1685003232.817887,136.jpg,699158,2016x2016,1,8,0.47892,699.158,323.05098,3.5589969052893066e-05,0.0010040086696624755
1685003234.222195,137.jpg,697291,2016x2016,1,7,0.46809,697.291,347.43309,3.558855482758789e-05,0.0010797102584838866
1685003235.652339,138.jpg,725896,2016x2016,1,7,0.49789,725.896,329.75984,3.7035330204083254e-05,0.0010248383394241333
1685003237.0498922,139.jpg,760087,2016x2016,1,7,0.50334,760.087,366.16588,3.874357680748901e-05,0.0011378718130111694
1685003238.499903,140.jpg,737965,2016x2016,1,9,0.47563,737.965,335.69527,3.759550743319702e-05,0.001043266664123535
1685003239.920599,141.jpg,648281,2016x2016,1,9,0.39687,648.281,347.08905,3.3031736098370364e-05,0.0010786420892715453
1685003241.354196,142.jpg,626125,2016x2016,1,9,0.40586,626.125,314.6522,3.19630997833252e-05,0.0009779321645736693
1685003242.748412,143.jpg,662042,2016x2016,1,9,0.40873,662.042,327.34013,3.379881400237427e-05,0.0010173256233215332
1685003244.16286,144.jpg,662021,2016x2016,1,8,0.41392,662.021,322.76297,3.377306363151245e-05,0.0010031144573211669
1685003245.5665028,145.jpg,635008,2016x2016,1,9,0.39209,635.008,343.15276,3.241975798538818e-05,0.0010664206937789917
1685003246.990344,146.jpg,641005,2016x2016,1,8,0.39541,641.005,329.64516,3.264371768103028e-05,0.0010244822830200195
1685003248.397913,147.jpg,674527,2016x2016,1,8,0.40866,674.527,322.31784,3.4439810310784915e-05,0.0010017324254989624
1685003249.8031092,148.jpg,708357,2016x2016,1,9,0.41788,708.357,332.53407,3.6077383614831545e-05,0.0010334517953872679
