Timestamp,File Name,File Size(Byte),Canvas Size,Batch Size,Image Number,Canvas Efficiency,Bin Packing Time(ms),Prepocess Time(ms),Inference Time (ms),Transmission Time (ms),Latency (ms),Idle Cost (CNY),Trigger Cost(CNY)
83.02999275,175.jpg,653668,1024x1024,2,9,0.84731,1.28562,56.77812,72.75499,522.9344,652.46751,0.00044567089645399514,0.0005845207568656654
84.076127333,176.jpg,723212,1024x1024,3,9,0.67679,1.41075,73.3006,102.79938,578.5696,754.66958,0.0004930760943559924,0.0007942951805416494
85.183362958,177.jpg,723706,1024x1024,3,10,0.67152,2.251,74.58019,104.80474,578.9648,758.34973,0.000494126424528001,0.0008090932413220406
86.30371725,178.jpg,779672,1024x1024,3,8,0.72746,2.23071,72.14098,100.43722,623.7376,796.3158,0.0005321732167292792,0.0007784302533313631
87.421259417,179.jpg,823757,1024x1024,4,10,0.56676,2.54283,89.41991,145.38412,659.0056,893.80963,0.0005624220157992737,0.001058745179849863
88.610008917,180.jpg,828570,1024x1024,4,9,0.61929,2.41908,95.94443,148.79303,662.856,907.59346,0.0005655902645632736,0.0011034933110602198
89.8033495,181.jpg,811042,1024x1024,4,10,0.58121,2.798,99.1772,148.42042,648.8336,896.43122,0.0005539911210559988,0.0011163777538903056
90.997345125,182.jpg,646957,1024x1024,3,10,0.6337,2.151,73.96955,107.94006,517.5656,699.47521,0.00044184226465599814,0.0008204664197515696
92.11058375,183.jpg,676445,1024x1024,4,10,0.49309,2.64283,77.86654,146.1204,541.156,765.14294,0.00046231601586327656,0.0010100163546930996
93.271660917,184.jpg,726727,1024x1024,4,10,0.51609,2.79896,100.2,150.14417,581.3816,831.72577,0.0004966469431892798,0.001128750416078046
94.45893275,185.jpg,690652,1024x1024,4,9,0.47501,1.67079,92.96486,150.22783,552.5216,795.71428,0.0004711522039827189,0.0010965343982614576
95.63304475,186.jpg,659636,1024x1024,3,10,0.57889,2.29579,73.13943,102.40265,527.7088,703.25088,0.0004505887039347185,0.0007917819717679173
96.731239833,187.jpg,591836,1024x1024,3,10,0.52434,2.42987,74.45989,100.95381,473.4688,648.88249,0.0004045900175379916,0.0007912036076817661
97.833479208,188.jpg,629332,1024x1024,2,10,0.79487,2.274,49.37972,71.55884,503.4656,624.40416,0.0004299595783359999,0.0005458040103774518
