Timestamp,File Name,File Size(Byte),Canvas Size,Batch Size,Image Number,Canvas Efficiency,Prepocess Time(ms),Inference Time (ms),Transmission Time (ms),Latency (ms),Idle Cost (CNY),Trigger Cost(CNY)
159.0029619,222.jpg,420048,1024x1024,2,10,0.54222,45.28764,68.24026,336.0384,449.5663,0.000287575,0.00051242
160.2093611,223.jpg,447580,1024x1024,2,10,0.56694,45.86617,68.36602,358.064,472.2962,0.000307163,0.000515593
161.4115009,224.jpg,673960,1024x1024,2,11,0.84906,52.85339,73.30061,539.168,665.322,0.000459258,0.000569299
162.6509264,225.jpg,625057,1024x1024,3,11,0.53597,82.74515,102.64692,500.0456,685.43767,0.000427249,0.000836154
163.9565652,226.jpg,627856,1024x1024,2,9,0.80857,55.65477,69.91279,502.2848,627.85235,0.000428544,0.000566657
165.2044835,227.jpg,589560,1024x1024,3,11,0.49063,68.37675,105.64211,471.648,645.66687,0.00040295,0.00078492
166.5021724,228.jpg,606239,1024x1024,2,11,0.73726,52.0516,71.09099,484.9912,608.13379,0.000414028,0.000555733
167.7336935,229.jpg,566637,1024x1024,2,11,0.68134,51.122,71.69014,453.3096,576.12174,0.000386415,0.000554244
168.9593769,230.jpg,487711,1024x1024,2,11,0.56114,48.81123,71.28346,390.1688,510.26349,0.000332982,0.000542003
170.1803173,231.jpg,439299,1024x1024,2,10,0.52018,38.08547,69.48213,351.4392,459.0068,0.000300367,0.000485571
171.3830921,232.jpg,497365,1024x1024,3,10,0.40559,65.71151,100.07015,397.892,563.67366,0.000340247,0.000747813
172.658706,233.jpg,574737,1024x1024,2,10,0.69949,57.55433,72.68253,459.7896,590.02646,0.00039257,0.000587691
173.9009072,234.jpg,548820,1024x1024,2,10,0.7033,49.7988,70.17351,439.056,559.02831,0.000378048,0.000541451
