Timestamp,SLO,Batch Size,Images Number,Canvas efficiency,Remaining/Over time,QoS,QoS per frame,QoS per image,Cost(CNY)
1685535149,Yes,3,14,0.7205,0.1115,0.188,0.0626,0.0134,0.000452982
1685535149,Yes,3,14,0.5763,0.1184,0.1781,0.0594,0.0127,0.000429292
1685535149,Yes,3,10,0.538,0.1285,0.1766,0.0589,0.0177,0.000425753
1685535149,Yes,3,14,0.5972,0.1283,0.171,0.057,0.0122,0.000412298
1685535149,Yes,3,12,0.6341,0.1226,0.1767,0.0589,0.0147,0.000425935
1685535150,Yes,3,12,0.6802,0.1135,0.1854,0.0618,0.0155,0.000446958
1685535150,Yes,3,11,0.5596,0.1047,0.1844,0.0615,0.0168,0.000444375
1685535150,Yes,3,10,0.5763,0.1032,0.1946,0.0649,0.0195,0.000469077
1685535150,Yes,3,12,0.6696,0.1116,0.1846,0.0615,0.0154,0.000444844
1685535151,Yes,3,11,0.6236,0.0501,0.2573,0.0858,0.0234,0.000619724
1685535151,Yes,3,11,0.5621,0.1195,0.1785,0.0595,0.0162,0.000430288
1685535151,Yes,3,13,0.5294,0.1214,0.1796,0.0599,0.0138,0.000432977
1685535151,Yes,3,12,0.5487,0.1351,0.1734,0.0578,0.0145,0.000418096
1685535151,Yes,3,13,0.5987,0.1289,0.1703,0.0568,0.0131,0.000410583
1685535152,Yes,3,11,0.5499,0.1513,0.1793,0.0598,0.0163,0.000432145
1685535152,Yes,3,11,0.6791,0.09,0.2084,0.0695,0.0189,0.000502163
1685535152,Yes,3,17,0.6448,0.11,0.1791,0.0597,0.0105,0.000431813
1685535152,Yes,3,13,0.6967,0.1091,0.1891,0.063,0.0145,0.000455673
1685535153,Yes,3,13,0.7052,0.1218,0.1738,0.0579,0.0134,0.000418906
1685535153,Yes,3,12,0.4936,0.1742,0.1787,0.0596,0.0149,0.000430658
1685535153,Yes,3,16,0.6374,0.1266,0.1699,0.0566,0.0106,0.000409592
1685535153,Yes,3,17,0.6466,0.1174,0.1796,0.0599,0.0106,0.000432849
1685535153,Yes,3,13,0.7094,0.109,0.188,0.0627,0.0145,0.000453023
1685535154,Yes,3,11,0.663,0.1133,0.184,0.0613,0.0167,0.000443392
1685535154,Yes,3,18,0.7426,0.1148,0.1846,0.0615,0.0103,0.00044483
1685535154,Yes,3,15,0.6938,0.0644,0.2207,0.0736,0.0147,0.000531725
1685535154,Yes,3,17,0.4547,0.1287,0.1783,0.0594,0.0105,0.000429675
1685535155,Yes,3,14,0.6296,0.1159,0.1752,0.0584,0.0125,0.000422405
1685535155,Yes,3,16,0.5853,0.1291,0.1776,0.0592,0.0111,0.000428191
1685535155,Yes,2,4,0.4453,0.0792,0.1152,0.0576,0.0288,0.000278071
